,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,Deck,Family_Size,Fare_Per_Person
0,1,0,3,,male,22.0,1,0,,7.25,Unknown,S,Mr,Unknown,1,3.625
1,2,1,1,,female,38.0,1,0,,71.2833,C85,C,Mrs,C,1,35.64165
2,3,1,3,,female,26.0,0,0,,7.925,Unknown,S,Miss,Unknown,0,7.925
3,4,1,1,,female,35.0,1,0,,53.1,C123,S,Mrs,C,1,26.55
4,5,0,3,,male,35.0,0,0,,8.05,Unknown,S,Mr,Unknown,0,8.05
5,6,0,3,,male,,0,0,,8.4583,Unknown,Q,Mr,Unknown,0,8.4583
6,7,0,1,,male,54.0,0,0,,51.8625,E46,S,Mr,E,0,51.8625
7,8,0,3,,male,2.0,3,1,,21.075,Unknown,S,Master,Unknown,4,4.215
8,9,1,3,,female,27.0,0,2,,11.1333,Unknown,S,Mrs,Unknown,2,3.7111
9,10,1,2,,female,14.0,1,0,,30.0708,Unknown,C,Mrs,Unknown,1,15.0354
10,11,1,3,,female,4.0,1,1,,16.7,G6,S,Miss,G,2,5.566666666666666
11,12,1,1,,female,58.0,0,0,,26.55,C103,S,Miss,C,0,26.55
12,13,0,3,,male,20.0,0,0,,8.05,Unknown,S,Mr,Unknown,0,8.05
13,14,0,3,,male,39.0,1,5,,31.275,Unknown,S,Mr,Unknown,6,4.4678571428571425
14,15,0,3,,female,14.0,0,0,,7.8542,Unknown,S,Miss,Unknown,0,7.8542
15,16,1,2,,female,55.0,0,0,,16.0,Unknown,S,Mrs,Unknown,0,16.0
16,17,0,3,,male,2.0,4,1,,29.125,Unknown,Q,Master,Unknown,5,4.854166666666667
17,18,1,2,,male,,0,0,,13.0,Unknown,S,Mr,Unknown,0,13.0
18,19,0,3,,female,31.0,1,0,,18.0,Unknown,S,Mrs,Unknown,1,9.0
19,20,1,3,,female,,0,0,,7.225,Unknown,C,Mrs,Unknown,0,7.225
20,21,0,2,,male,35.0,0,0,,26.0,Unknown,S,Mr,Unknown,0,26.0
21,22,1,2,,male,34.0,0,0,,13.0,D56,S,Mr,D,0,13.0
22,23,1,3,,female,15.0,0,0,,8.0292,Unknown,Q,Miss,Unknown,0,8.0292
23,24,1,1,,male,28.0,0,0,,35.5,A6,S,Mr,A,0,35.5
24,25,0,3,,female,8.0,3,1,,21.075,Unknown,S,Miss,Unknown,4,4.215
25,26,1,3,,female,38.0,1,5,,31.3875,Unknown,S,Mrs,Unknown,6,4.483928571428572
